Day,Start_Time,End_Time,Activity
Monday ,06:00,07:30,Morning Routine
Monday ,08:00,16:00,School
Monday ,18:00,19:30,Sanskrit Class
Monday ,20:00,23:00,Free
Monday ,23:00,06:00,Sleep
Tuesday,06:00,07:30,Morning Routine
Tuesday,08:00,16:00,School
Tuesday,16:00,19:00,Free
Tuesday,19:00,19:45,Music
Tuesday,19:45,23:00,Free
Tuesday,23:00,06:00,Sleep
Wednesday,06:00,07:30,Morning Routine
Wednesday,08:00,16:00,School
Wednesday,18:00,19:30,Sanskrit Class
Wednesday,20:00,23:00,Free
Wednesday,23:00,06:00,Sleep
Thursday,06:00,07:30,Morning Routine
Thursday,08:00,16:00,School
Thursday,16:00,19:00,Free
Thursday,19:00,19:45,Home Work 
Thursday,19:45,23:00,Free
Thursday,23:00,06:00,Sleep
Friday,06:00,07:30,Morning Routine
Friday,08:00,16:00,School
Friday,16:00,19:00,Free
Friday,19:00,19:45,Music
Friday,19:45,23:00,Free
Friday,23:00,09:00,Sleep
Saturday ,09:00,10:00,Morning Routine
Saturday ,11:00,13:00,Free
Saturday ,13:00,14:00,Lunch 
Saturday ,14:00,17:00,Free
Saturday ,17:00,18:00,Evening Routine
Saturday ,18:00,20:00,Free
Saturday ,20:00,20:45,Dinner
Saturday ,20:45,22:00,Free
Saturday ,22:00,09:00,Sleep
Sunday,09:00,10:00,Morning Routine
Sunday,11:00,13:00,Free
Sunday,13:00,14:00,Lunch 
Sunday,14:00,17:00,Free
Sunday,17:00,18:00,Evening Routine
Sunday,18:00,20:00,Free
Sunday,20:00,20:45,Dinner
Sunday,20:45,22:00,Free
Sunday,22:00,09:00,Sleep
